항목명1,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        배,31.593,50.694,53.719,51.873,61.234,60.682,59.423,70.296,62.468,79.521,65.912,68.378,76.37,77.726,100.417,89.311,77.744,93.473,71.558,71.402,91.553,110.137,123.078,144.411,107.398,100,107.01,99.44,97.86,125.33
        복숭아,20.128,25.864,29.566,29.353,36.115,43.307,45.356,52.645,56.676,56.142,56.437,60.609,67.133,71.027,81.274,88.841,91.248,96.246,90.966,84.739,96.231,122.422,121.197,125.727,117.931,100,100.92,102.27,101.52,100.9
        포도,51.917,65.196,83.244,92.216,97.761,110.856,84.196,87.569,97.087,85.267,83.521,71.017,85.568,95.239,114.991,125.125,108.03,114.142,117.344,109.365,121.891,133.255,140.804,141.285,115.057,100,99.27,113.75,120.12,116.83
        밤,36.874,35.917,35.846,45.366,83.733,53.157,55.829,66.288,52.537,65.008,83.219,79.633,95.153,114.377,132.532,84.162,77.891,82.583,75.527,80.465,78.606,91.038,126.521,132.373,98.712,100,118.28,121.01,108.46,105.54
        감,85.44,110.405,114.432,90.319,128.292,113.683,92.887,109.136,93.361,88.756,65.214,77.048,82.845,78.874,94.696,117.004,89.513,118.018,93.734,103.814,103.415,120.412,134.835,118.025,116.985,100,97.88,115.07,131.61,130.25
        귤,40.04,77.318,70.595,59.76,66.633,105.888,74.804,107.468,80.644,102.156,55.41,79.033,84.325,63.62,85.198,106.735,84.334,109.137,67.663,93.346,90.059,106.469,136.033,108,112.867,100,107.89,192.25,160.81,146.82
        오렌지,,,,,,138.497,120.566,98.12,96.33,115.589,71.673,79.928,92.8,83.285,84.092,81.524,81.992,88.738,85.45,109.64,104.847,99.298,96.453,85.846,100.666,100,92.72,102.38,97.92,82.54
        참외,44.653,53.027,51.648,56.019,59.277,52.338,62.25,63.005,66.438,63.703,63.626,72.811,81.488,92.758,95.436,90.186,98.588,106.66,105.45,106.494,127.955,141.562,133.841,107.633,96.131,100,92.49,93.5,105.04,95.88
        수박,49.142,58.652,58.885,52.143,69.861,66.418,54.567,57.589,60.113,54.86,53.413,62.816,62.492,67.703,88.589,82.999,93.353,93.035,84.397,77.625,104.683,130.88,136.799,138.688,112.952,100,105.66,120.71,135.98,124.08
        딸기,32.198,36.276,47.82,45.968,44.004,46.692,49.046,50.124,51.081,56.474,49.003,56.815,66.012,65.563,68.213,71.899,78.604,88.545,79.767,81.864,97.024,98.099,111.744,87.759,91.463,100,91.58,90.73,101.32,81.69
