항목명1,총지수,  식료품 및 비주류 음료,  주류 및 담배,  의류 및 신발,"  주택, 수도, 전기 및 연료",  가정용품 및 가사 서비스,  보건,  교통,  통신,  오락 및 문화,  교육,  음식 및 숙박,  기타 상품 및 서비스
2009년 5월,88.405,82.75,63.865,82.797,83.869,88.991,93.397,93.89,105.721,96.61,90.926,87.774,90.503
2009년 6월,88.327,80.444,63.865,83.307,83.945,89.705,93.483,95.657,105.721,96.223,90.926,87.93,90.928
2009년 7월,88.641,81.073,63.802,83.38,84.554,89.387,93.743,96.92,105.721,96.416,91.002,88.085,90.857
2009년 8월,88.955,81.702,63.865,83.089,84.858,89.308,93.83,98.097,105.721,96.61,91.077,88.241,90.716
2009년 9월,89.034,81.492,63.927,83.525,84.934,88.911,93.83,98.349,105.721,96.127,91.152,88.319,91.21
2009년 10월,88.798,81.003,63.927,83.599,84.858,88.753,93.83,97.003,105.721,96.127,91.152,88.396,91.282
2009년 11월,88.955,79.745,63.99,84.836,85.087,89.07,93.916,98.181,105.61,96.32,91.152,88.551,92.13
2009년 12월,89.269,81.003,64.052,84.909,85.315,88.991,93.57,98.266,105.499,96.223,91.228,88.785,92.555
2010년 1월,89.974,82.96,64.179,84.714,85.733,88.508,94.879,99.071,105.304,96.486,91.609,89.155,93.241
2010년 2월,90.156,83.912,64.179,84.629,85.906,88.776,94.974,98.97,105.304,96.583,91.702,89.424,93.429
2010년 3월,90.338,84.517,64.051,84.629,85.993,88.597,94.974,99.773,104.676,96.486,92.723,88.885,93.618
2010년 4월,90.702,85.815,64.115,84.629,85.993,88.687,95.069,100.576,104.676,96.583,92.908,89.334,93.429
2010년 5월,90.793,85.382,64.051,84.799,86.166,89.133,95.164,100.777,104.676,96.875,93.001,89.694,93.806
2010년 6월,90.702,84.258,64.115,85.31,86.166,89.222,95.164,100.476,104.676,96.583,93.001,89.874,93.994
2010년 7월,90.884,84.69,63.987,85.395,86.252,88.954,95.259,100.978,104.676,98.042,93.001,90.053,94.371
2010년 8월,91.34,86.853,64.115,85.395,86.511,89.311,95.354,100.777,104.676,98.236,93.094,90.143,94.465
2010년 9월,92.068,91.265,64.179,85.48,87.116,89.49,95.45,99.974,104.676,98.236,93.094,90.323,94.936
2010년 10월,92.068,91.438,64.179,85.395,87.203,89.847,95.164,100.175,104.676,97.847,93.187,90.503,94.748
2010년 11월,91.613,88.497,64.179,84.884,86.943,89.936,95.259,100.476,104.676,97.653,93.279,90.592,95.03
2010년 12월,91.977,88.497,64.115,86.417,87.289,90.293,95.259,102.283,104.047,97.555,93.279,90.682,95.219
2011년 1월,93.07,91.438,64.115,86.502,88.153,90.739,96.116,104.491,104.047,98.236,93.743,91.132,95.69
2011년 2월,93.707,93.255,64.051,86.587,88.672,91.542,96.496,105.093,104.047,98.236,93.929,92.57,96.066
2011년 3월,94.072,92.995,64.051,86.672,89.018,91.988,96.306,107.101,103.943,98.723,94.208,92.839,97.102
2011년 4월,94.163,92.217,63.987,86.757,89.277,91.72,96.496,107.402,103.943,98.723,94.393,93.379,96.82
2011년 5월,94.345,91.265,64.885,87.779,89.968,92.345,96.496,107.101,103.943,99.209,94.393,93.738,97.479
2011년 6월,94.527,91.957,64.821,87.864,90.228,92.702,96.877,106.599,103.943,98.917,94.486,93.918,97.479
2011년 7월,94.982,93.687,64.821,88.29,90.4,92.702,96.972,107.904,103.943,99.403,94.486,94.187,97.479
2011년 8월,95.62,96.542,64.949,88.375,90.832,92.791,97.163,108.406,103.943,99.209,94.579,94.547,97.573
2011년 9월,95.529,96.282,64.949,88.375,91.092,93.326,97.258,108.205,101.954,98.82,94.579,94.637,97.667
2011년 10월,95.347,94.033,64.949,87.949,91.87,93.326,97.258,108.907,101.64,98.723,94.672,94.727,97.573
2011년 11월,95.438,93.774,64.949,90.248,92.129,93.415,97.258,108.707,100.698,98.625,94.764,94.457,97.762
2011년 12월,95.802,95.158,64.885,90.248,92.475,93.862,97.353,108.707,100.384,98.723,94.857,94.637,98.138
2012년 1월,96.184,96.871,64.955,90.214,92.846,94.575,98.457,109.148,100.384,99.044,95.117,94.906,95.916
2012년 2월,96.549,96.533,65.436,90.997,93.555,95.271,98.79,110.293,100.384,98.81,95.405,94.978,96.387
2012년 3월,96.576,97.485,65.34,91.023,93.866,95.476,98.866,111.959,100.384,98.45,94.792,94.34,93.034
2012년 4월,96.567,97.113,65.423,90.648,93.961,94.968,97.505,112.541,100.384,99.112,95.266,94.439,93.439
2012년 5월,96.74,96.948,65.231,92.147,94.065,95.476,97.676,112.31,100.384,99.248,95.544,94.61,93.495
2012년 6월,96.603,96.412,65.436,92.76,94.194,95.494,97.819,111.096,100.384,98.402,95.6,94.709,93.514
2012년 7월,96.385,95.755,65.34,92.751,94.687,95.128,97.201,109.148,100.384,99.715,95.767,94.835,92.327
2012년 8월,96.831,96.957,65.673,92.751,95.076,95.146,97.172,110.393,100.384,99.433,96.175,94.978,92.93
2012년 9월,97.523,100.495,66,92.76,95.102,95.744,97.267,111.487,100.384,99.014,96.277,95.014,94.362
2012년 10월,97.341,98.886,66.039,92.342,95.37,95.155,97.277,111.437,100.384,99.374,96.324,95.104,94.493
2012년 11월,96.995,96.455,66.032,93.875,95.473,95.209,97.324,110.433,100.384,98.703,96.407,95.122,94.192
2012년 12월,97.168,97.156,66.103,93.875,95.785,94.656,97.343,110.122,100.384,99.267,96.472,95.221,94.616
2013년 1월,97.751,99.146,66.564,93.849,96.338,94.781,98.228,110.433,100.384,99.238,97.048,95.589,94.578
2013년 2월,98.078,99.673,66.564,94.045,96.804,95.494,98.276,110.975,100.384,99.112,97.354,95.859,94.804
2013년 3월,97.987,98.705,66.712,94.02,97.444,95.387,98.343,111.818,100.384,99.228,96.528,95.859,93.476
2013년 4월,97.851,98.808,66.622,93.092,97.513,95.075,98.171,110.855,100.112,99.549,96.602,96.102,93.194
2013년 5월,97.851,97.788,66.654,94.343,97.721,95.012,98.514,109.389,100.248,100.065,96.695,96.272,94.484
2013년 6월,97.732,96.672,66.661,94.582,97.755,95.432,98.495,109.419,100.248,99.433,96.76,96.389,94.767
2013년 7월,97.942,97.372,66.667,93.994,97.876,94.861,97.581,110.323,100.248,101.534,96.788,96.47,94.748
2013년 8월,98.288,99.647,66.693,94.59,98.161,95.173,97.667,110.925,100.258,102.244,96.844,96.587,90.98
2013년 9월,98.479,99.673,66.718,95.178,98.222,95.601,97.857,110.423,100.195,100.999,96.955,96.596,95.228
2013년 10월,98.179,97.442,66.744,95.152,98.395,96.003,97.914,109.992,100.195,100.298,96.983,96.677,95.746
2013년 11월,98.16,95.902,66.782,97.859,98.835,96.618,97.914,109.289,100.195,99.374,97.011,96.704,95.934
2013년 12월,98.279,96.248,66.757,97.774,99.026,95.914,97.933,109.51,100.195,99.686,97.085,96.803,96
2014년 1월,98.807,97.346,66.686,97.749,99.95,96.395,98.885,110.333,100.195,100.162,97.382,96.991,95.614
2014년 2월,99.071,98.341,66.744,97.757,100.322,97.047,98.866,110.142,100.195,99.287,97.586,97.243,96.311
2014년 3월,99.253,98.601,66.654,97.894,100.365,97.27,98.923,110.062,100.195,99.472,98.319,97.207,97.178
2014년 4월,99.317,98.514,66.641,97.859,100.512,96.859,98.809,109.891,100.29,100.736,98.356,97.351,97.244
2014년 5월,99.481,98.523,66.545,98.345,100.65,97.645,98.856,109.761,100.29,101.504,98.394,97.504,97.677
2014년 6월,99.353,98.09,66.507,98.949,100.719,97.074,98.771,109.349,100.206,100.133,98.421,97.567,97.809
2014년 7월,99.499,98.402,66.507,98.881,100.65,97.082,98.847,109.319,100.206,101.845,98.431,97.8,97.809
2014년 8월,99.672,99.198,66.635,98.907,100.763,97.502,98.447,108.857,100.206,103.206,98.468,97.953,97.903
2014년 9월,99.608,99.855,66.635,98.941,100.815,98.251,98.457,107.874,100.154,100.697,98.588,98.133,97.903
2014년 10월,99.308,97.909,66.648,99.009,100.936,98.153,98.761,107,100.154,100.619,98.561,98.196,97.912
2014년 11월,99.108,97.58,66.68,99.979,101.013,98.126,98.78,105.565,100.154,98.898,98.579,98.322,97.564
2014년 12월,99.098,98.16,66.673,99.894,101.048,98.305,98.78,103.939,100.059,99.345,98.663,98.402,97.978
2015년 1월,99.77,99.72,99.78,99.68,100.52,98.91,99.84,100.45,100.4,100.04,99.13,98.69,99.69
2015년 2월,99.71,100.39,99.83,99.49,100.83,99.87,100.04,98.17,100.4,99.38,99.26,98.86,99.83
2015년 3월,99.72,99.44,99.8,99.55,100.02,100.18,100.1,99.6,100.39,98.4,99.74,99.47,100.27
2015년 4월,99.75,99.34,99.92,99.14,100.14,99.53,100.05,99.57,99.77,99.88,99.98,99.7,99.88
