항목명1,총지수,  식료품 및 비주류 음료,  주류 및 담배,  의류 및 신발,"  주택, 수도, 전기 및 연료",  가정용품 및 가사 서비스,  보건,  교통,  통신,  오락 및 문화,  교육,  음식 및 숙박,  기타 상품 및 서비스
1999년 10월,65.768,55.264,46.151,64.886,62.31,76.159,68.294,69.205,132.928,96.289,56.163,66.49,62.449
1999년 11월,65.658,54.258,46.117,64.826,62.739,76.015,69.239,69.542,132.512,96.468,56.163,66.549,62.241
1999년 12월,65.548,54.083,46.046,64.826,62.578,75.514,69.357,69.157,132.372,96.379,56.163,66.607,61.773
2000년 1월,65.839,54.82,46.883,64.721,62.375,74.9,71.002,69.024,137.442,96.146,56.412,66.567,61.969
2000년 2월,66.04,55.311,46.79,64.785,62.694,74.602,70.928,68.884,137.311,96.916,56.588,66.769,62.032
2000년 3월,66.372,55.039,46.651,64.785,62.885,74.378,71.002,68.954,137.311,96.916,59.173,66.902,62.094
2000년 4월,66.106,54.005,46.511,64.721,62.822,74.154,71.96,68.528,136.393,96.435,59.29,66.97,62.094
2000년 5월,65.773,53.081,46.557,64.916,62.758,74.303,72.034,68.67,128.532,96.532,59.29,67.037,61.969
2000년 6월,66.106,53.135,46.464,65.374,63.523,74.528,71.96,70.088,129.45,96.435,59.115,67.037,61.969
2000년 7월,66.372,53.733,46.418,65.439,63.587,74.528,72.55,70.654,129.187,96.146,59.115,67.171,61.907
2000년 8월,66.704,54.277,46.557,65.505,63.905,74.751,74.467,72.214,127.222,95.858,59.115,67.238,62.156
2000년 9월,67.57,56.833,46.511,65.505,64.287,74.826,77.195,73.347,127.484,95.762,59.232,67.304,62.218
2000년 10월,67.504,55.692,46.418,66.42,64.797,74.677,77.195,73.49,127.353,95.569,59.29,67.373,62.156
2000년 11월,67.104,53.407,46.418,65.57,65.307,74.751,77.195,73.063,127.353,95.569,59.29,67.439,62.032
2000년 12월,67.37,53.461,46.464,66.812,65.817,74.826,77.268,73.631,127.222,95.378,59.29,67.439,62.652
2001년 1월,68.103,54.875,49.024,66.877,66.072,75.124,82.283,73.419,127.091,95.858,59.526,67.439,64.019
2001년 2월,68.435,55.419,49.024,66.877,66.454,75.945,82.577,73.419,127.222,97.012,59.879,67.506,64.08
2001년 3월,69.035,56.779,48.978,65.766,66.836,75.945,82.798,73.49,127.353,97.204,61.758,67.909,64.142
2001년 4월,69.301,57.214,48.745,66.943,67.155,75.796,82.798,73.915,127.353,96.532,61.758,68.111,64.515
2001년 5월,69.234,56.453,48.885,67.531,67.41,75.871,82.872,73.915,127.615,96.34,61.7,68.177,64.639
2001년 6월,69.434,57.106,48.885,67.531,67.664,75.722,82.946,74.127,127.615,95.954,61.7,68.312,64.577
2001년 7월,69.567,57.866,48.792,67.335,67.856,75.571,81.177,74.34,126.435,95.762,61.758,68.378,64.577
2001년 8월,69.833,59.281,48.838,67.531,67.856,76.318,81.618,74.056,126.435,95.667,61.7,68.446,64.639
2001년 9월,69.767,58.682,48.838,67.597,68.047,76.542,81.618,73.915,126.435,95.474,61.7,68.58,64.825
2001년 10월,69.767,58.465,48.792,67.858,68.238,76.243,81.545,73.915,125.912,94.608,61.758,68.646,65.136
2001년 11월,69.368,56.67,48.792,67.27,68.302,76.318,81.545,73.56,126.174,94.512,61.993,68.781,64.888
2001년 12월,69.501,57.269,48.838,68.642,68.365,76.616,81.618,72.001,126.96,94.608,62.053,69.05,64.95
2002년 1월,69.9,58.465,49.024,68.642,68.429,76.616,81.84,72.356,126.829,94.993,62.053,69.385,65.757
2002년 2월,70.233,60.096,52.842,68.511,68.047,76.765,81.988,72.426,122.506,95.954,62.229,69.72,65.819
2002년 3월,70.632,59.499,52.842,68.642,68.302,76.691,82.061,72.71,122.506,95.281,65.05,70.123,66.067
2002년 4월,71.032,59.825,52.842,68.773,68.747,76.691,81.103,73.915,122.506,96.82,65.343,70.393,66.378
2002년 5월,71.298,60.314,52.842,69.165,69.066,76.616,81.25,74.765,122.768,96.82,65.402,70.459,66.564
2002년 6월,71.231,59.825,52.796,69.296,69.257,76.616,81.472,74.765,119.885,96.051,65.402,70.526,67.123
2002년 7월,71.032,58.955,52.703,69.035,69.32,76.393,81.545,74.552,119.885,96.34,65.402,70.727,67.061
2002년 8월,71.498,60.858,52.842,69.296,69.448,76.542,81.472,74.41,119.491,97.109,65.461,70.862,67.123
2002년 9월,71.898,62.327,52.796,69.426,69.702,76.765,81.618,75.049,119.491,96.532,65.519,71.063,67.247
